9.261989593505859375e-01, 2.442653030157089233e-01, 9.814703464508056641e-01, 5.664039775729179382e-02, 8.088390588760375977e+00
9.685327410697937012e-01, 1.031994298100471497e-01, 9.868791103363037109e-01, 4.095847904682159424e-02, 1.615947961807250977e+00
9.736741185188293457e-01, 8.434791117906570435e-02, 9.883814454078674316e-01, 3.589469939470291138e-02, 1.617759227752685547e+00
9.779138565063476562e-01, 7.381095737218856812e-02, 9.877804517745971680e-01, 3.741813078522682190e-02, 1.599386692047119141e+00
9.785982966423034668e-01, 7.111477851867675781e-02, 9.877805113792419434e-01, 3.928389027714729309e-02, 1.583444595336914062e+00
9.791157245635986328e-01, 6.823945045471191406e-02, 9.873799681663513184e-01, 4.032420367002487183e-02, 1.603626251220703125e+00
9.810352921485900879e-01, 6.303994357585906982e-02, 9.884817004203796387e-01, 3.809979557991027832e-02, 1.584143161773681641e+00
9.823704361915588379e-01, 5.747856199741363525e-02, 9.890826344490051270e-01, 3.899570181965827942e-02, 1.617794036865234375e+00
9.806346297264099121e-01, 6.207223981618881226e-02, 9.885818362236022949e-01, 4.406467080116271973e-02, 1.689381837844848633e+00
9.821867346763610840e-01, 6.006010994315147400e-02, 9.884815812110900879e-01, 4.059299826622009277e-02, 1.654983282089233398e+00
9.823873043060302734e-01, 5.772469565272331238e-02, 9.876803159713745117e-01, 4.360393062233924866e-02, 1.643608570098876953e+00
9.831717014312744141e-01, 5.497089773416519165e-02, 9.880811572074890137e-01, 4.690327867865562439e-02, 1.731141328811645508e+00
9.847741127014160156e-01, 5.174748227000236511e-02, 9.879809021949768066e-01, 4.157039895653724670e-02, 1.596152305603027344e+00
9.837728142738342285e-01, 5.347216501832008362e-02, 9.874800443649291992e-01, 4.816641658544540405e-02, 1.628118991851806641e+00
9.832050800323486328e-01, 5.654948204755783081e-02, 9.888822436332702637e-01, 4.307064041495323181e-02, 1.641057252883911133e+00
9.833551645278930664e-01, 5.616633594036102295e-02, 9.890826344490051270e-01, 4.386327788233757019e-02, 1.612210750579833984e+00
